DATE,ATNHPIUS06067A
1975-01-01,22.05
1976-01-01,24.40
1977-01-01,28.13
1978-01-01,32.95
1979-01-01,39.42
1980-01-01,44.14
1981-01-01,50.42
1982-01-01,49.59
1983-01-01,50.31
1984-01-01,51.35
1985-01-01,53.86
1986-01-01,56.27
1987-01-01,59.59
1988-01-01,64.60
1989-01-01,75.60
1990-01-01,90.04
1991-01-01,94.95
1992-01-01,92.45
1993-01-01,87.82
1994-01-01,84.41
1995-01-01,81.00
1996-01-01,79.85
1997-01-01,80.75
1998-01-01,85.61
1999-01-01,89.46
2000-01-01,100.00
2001-01-01,115.37
2002-01-01,130.96
2003-01-01,144.91
2004-01-01,176.06
2005-01-01,217.77
2006-01-01,224.66
2007-01-01,203.42
2008-01-01,155.24
2009-01-01,135.67
2010-01-01,126.93
2011-01-01,115.02
2012-01-01,115.75
2013-01-01,135.55
2014-01-01,155.78
2015-01-01,165.47
2016-01-01,181.02
2017-01-01,198.54
2018-01-01,211.89
2019-01-01,221.24
2020-01-01,230.92
2021-01-01,267.89
