DATE,ATNHPIUS06073A
1975-01-01,18.45
1976-01-01,20.57
1977-01-01,24.93
1978-01-01,30.24
1979-01-01,35.96
1980-01-01,39.27
1981-01-01,42.21
1982-01-01,39.86
1983-01-01,42.82
1984-01-01,44.36
1985-01-01,46.45
1986-01-01,49.35
1987-01-01,52.88
1988-01-01,60.16
1989-01-01,73.64
1990-01-01,78.06
1991-01-01,77.64
1992-01-01,76.58
1993-01-01,73.47
1994-01-01,71.63
1995-01-01,70.60
1996-01-01,70.51
1997-01-01,72.35
1998-01-01,79.25
1999-01-01,85.63
2000-01-01,100.00
2001-01-01,111.81
2002-01-01,128.05
2003-01-01,143.17
2004-01-01,173.85
2005-01-01,209.35
2006-01-01,217.12
2007-01-01,204.95
2008-01-01,170.80
2009-01-01,150.87
2010-01-01,150.15
2011-01-01,143.10
2012-01-01,143.94
2013-01-01,158.70
2014-01-01,177.59
2015-01-01,185.39
2016-01-01,199.11
2017-01-01,213.28
2018-01-01,226.19
2019-01-01,232.69
2020-01-01,240.52
2021-01-01,273.39
