DATE,ATNHPIUS41884Q
1975-07-01,18.49
1975-10-01,18.7
1976-01-01,20.77
1976-04-01,21.32
1976-07-01,21.71
1976-10-01,24.29
1977-01-01,24.4
1977-04-01,26.72
1977-07-01,28.31
1977-10-01,28.54
1978-01-01,29.24
1978-04-01,29.95
1978-07-01,30.63
1978-10-01,31.49
1979-01-01,33.67
1979-04-01,35.25
1979-07-01,37.92
1979-10-01,40.25
1980-01-01,42.38
1980-04-01,43.74
1980-07-01,45.52
1980-10-01,45.79
1981-01-01,45.12
1981-04-01,46.33
1981-07-01,46.11
1981-10-01,46.03
1982-01-01,43.72
1982-04-01,40.17
1982-07-01,41.94
1982-10-01,45.91
1983-01-01,48.31
1983-04-01,49.35
1983-07-01,49.75
1983-10-01,49.44
1984-01-01,50.07
1984-04-01,51.21
1984-07-01,52.21
1984-10-01,52.67
1985-01-01,53.69
1985-04-01,54.91
1985-07-01,56.7
1985-10-01,58.19
1986-01-01,58.96
1986-04-01,60.77
1986-07-01,63.16
1986-10-01,65.74
1987-01-01,68.23
1987-04-01,70.51
1987-07-01,74.23
1987-10-01,78.1
1988-01-01,82.27
1988-04-01,86.73
1988-07-01,91.47
1988-10-01,98.53
1989-01-01,102.47
1989-04-01,106.78
1989-07-01,111.71
1989-10-01,113.65
1990-01-01,114.15
1990-04-01,113.16
1990-07-01,112.29
1990-10-01,109.65
1991-01-01,107.58
1991-04-01,106.72
1991-07-01,106.47
1991-10-01,107.14
1992-01-01,106.03
1992-04-01,105.19
1992-07-01,105.04
1992-10-01,104.16
1993-01-01,102.81
1993-04-01,102.13
1993-07-01,101.68
1993-10-01,101.6
1994-01-01,101.2
1994-04-01,100.37
1994-07-01,100.02
1994-10-01,98.86
1995-01-01,100.00
1995-04-01,100.09
1995-07-01,100.89
1995-10-01,100.95
1996-01-01,100.79
1996-04-01,100.84
1996-07-01,102.06
1996-10-01,103.58
1997-01-01,105.13
1997-04-01,108.07
1997-07-01,111.74
1997-10-01,114.44
1998-01-01,117.5
1998-04-01,121.35
1998-07-01,125.97
1998-10-01,127.94
1999-01-01,130.93
1999-04-01,136.4
1999-07-01,142.35
1999-10-01,150.37
2000-01-01,159.04
2000-04-01,169.85
2000-07-01,178.39
2000-10-01,184.19
2001-01-01,190.4
2001-04-01,194.1
2001-07-01,195.62
2001-10-01,192.93
2002-01-01,195.49
2002-04-01,200.25
2002-07-01,205.02
2002-10-01,206.95
2003-01-01,209.02
2003-04-01,209.96
2003-07-01,212.02
2003-10-01,219.12
2004-01-01,223.18
2004-04-01,232.53
2004-07-01,249.18
2004-10-01,256.35
2005-01-01,267.26
2005-04-01,283.22
2005-07-01,293.47
2005-10-01,301.74
2006-01-01,306.16
2006-04-01,306.87
2006-07-01,311.28
2006-10-01,307.23
2007-01-01,307.69
2007-04-01,306.44
2007-07-01,306.32
2007-10-01,299.14
2008-01-01,292.18
2008-04-01,280.42
2008-07-01,271.28
2008-10-01,267.01
2009-01-01,262.61
2009-04-01,252.55
2009-07-01,249.41
2009-10-01,250.31
2010-01-01,249.18
2010-04-01,248.93
2010-07-01,250.16
2010-10-01,248.27
2011-01-01,242.5
2011-04-01,239.46
2011-07-01,240.93
2011-10-01,240.53
2012-01-01,239.84
2012-04-01,243.19
2012-07-01,249.61
2012-10-01,257.03
2013-01-01,263.46
2013-04-01,276.13
2013-07-01,289.57
2013-10-01,296.48
2014-01-01,302.7
2014-04-01,315.46
2014-07-01,325.09
2014-10-01,329.92
2015-01-01,336.08
2015-04-01,350.59
2015-07-01,366.36
2015-10-01,374.34
2016-01-01,379.83
2016-04-01,384.97
2016-07-01,393.96
2016-10-01,396.45
2017-01-01,396.35
2017-04-01,403.64
2017-07-01,410.97
2017-10-01,415.68
2018-01-01,426.92
2018-04-01,446.05
2018-07-01,454.6
2018-10-01,445.28
2019-01-01,440.7
2019-04-01,439.91
2019-07-01,441.27
2019-10-01,441.96
2020-01-01,435.09
2020-04-01,430.83
2020-07-01,424.06
2020-10-01,424.38
2021-01-01,421.57
2021-04-01,430.29
2021-07-01,433.11
2021-10-01,449.62
2022-01-01,462.93
2022-04-01,506.78
